编号,名称,描述,介绍,特性,属性,总种族值,生命,物攻,魔攻,物防,魔防,速度,阶段,进化等级,进化方式,身高,体重,蛋组,性别比例,进化链,有地区形态,有首领形态,有异色形态
301,画间法师手,穿梭精灵,能够通过画框跨越时间与空间，沉迷于收集更多的见闻，看见更广阔的世界。在长年累月的穿梭中，曾经认识的画已经褪色，但它从没有停下。,灰色肖像-攻击会使敌方已有的减益层数+3。,普通-幻,619,101,53,131,94,120,120,3,36,累计击败3只武系精灵,2.08-2.45,46.05-58.1,妖精组-巨灵组,雄性 50% / 雌性 50%,画精灵进化链,否,否,否
302,画间沉铁兽,守望精灵,一种沉默寡言的分支形态，稍微有些粗鲁，比起结识更多的朋友，对他来说更重要的是保护现在朋友们的安全，可能在实施保护中不小心磕到朋友的头。确定了需要保护的对象之后，就不会再四处穿梭。,变形活画-行动时，敌方每有1层增益，本次行动技能威力+10%，速度+5。,普通-武,604,126,147,63,100,76,92,3,36,击败3只幻系精灵,1.75-1.92,75.7-88.02,妖精组-巨灵组,雄性 50% / 雌性 50%,画精灵进化链,否,否,否
303,书魔虫,书卷精灵,沉迷于阅读，其力量来源于书本的知识。走路和睡觉时都手不释卷，读的书越多体型变得越大，隔一段时间就要调整绑书带的长度，不然会阻碍它学习新知识。,图书守卫者-入场时，若自己魔力值为1，自己获得双攻+100%。,普通,383,67,69,69,48,73,57,1,0,,0.3-0.41,2.28-3.86,妖精组-巨灵组,雄性 50% / 雌性 50%,书魔虫进化链,否,否,否
304,书卷守护,书卷精灵,身上带着书本和油墨的味道，看起来小小的，其实比想象中重很多。常与同伴交换藏书，偶尔遇到疑惑的地方，会用书使劲砸自己的头，希望用这种办法让知识快点进入身体。,图书守卫者-入场时，若自己魔力值为1，自己获得双攻+100%。,普通,511,89,92,92,64,98,76,2,16,,0.82-1.01,9.8-14.8,妖精组-巨灵组,雄性 50% / 雌性 50%,书魔虫进化链,否,否,否
305,古卷执政官,智慧精灵,期末时期的图书馆，每当古卷执政官从书架间缓缓现身，它周围的位置总被围得水泄不通，它的古卷如臂膀般展开，书页无声翻动，精准停在学生们最需要的章节上。“不要抗拒，作业是你和知识之间的契约。”,图书守卫者-入场时，若自己魔力值为1，自己获得双攻+100%。,普通-幻,638,111,115,115,80,122,95,3,36,击败3只武系精灵,1.91-2.21,98.8-135.5,妖精组-巨灵组,雄性 50% / 雌性 50%,书魔虫进化链,否,否,否
306,古卷匣魔像,守望精灵,“盗贼撬开了书库的大门，随后就被黑暗中什么沉重的打击在空中划出了一道抛物线。然后落荒而逃，并且拒绝再次到访这里，并且嘴里一直嘟囔着：知识就是力量”——某冒险者叙述他们在魔法学院遭到古卷匣魔像攻击的故事。,构装契约者-入场时，若敌方魔力值为1，自己获得双防+100%。,普通-武,638,109,109,109,130,86,95,3,36,累计击败3只幻系精灵,1.87-2.15,119.5-180.5,妖精组-巨灵组,雄性 50% / 雌性 50%,书魔虫进化链,否,否,否
307,绒绒,星光精灵,绒绒多在夜间活动，触角能感知星光，体表覆盖着细密的短绒，能吸附少量蕴含星光的细微粉末。偶尔主动靠近洛克，以柔软的身体轻蹭对方，习性黏人，是温顺的小型毛绒精灵。,绒粉星光-攻击时，若敌方血脉是非本系的系别血脉，技能威力+100%。,光-虫,379,58,61,62,49,80,69,1,0,,0.29-0.35,1.0-2.5,,雄性 50% / 雌性 50%,绒绒进化链,否,否,是
308,小绒茧,星光精灵,体表的短绒进化为蓬松且带有黏性的长绒，能够吸附并储存更多星光粉末，直接触摸的话，会感到轻微刺痛。它们吸附的粉末最终在体内融合，驱动体内组织发生解离和重塑，当能量饱和时，绒毛能爆发出强劲的冲击力。,绒粉星光-攻击时，若敌方血脉是非本系的系别血脉，技能威力+100%。,光-虫,504,77,81,83,65,106,92,2,27,星光值≥1200,0.59-0.84,7.6-9.2,,雄性 50% / 雌性 50%,绒绒进化链,否,否,是
309,绒仙子,星光精灵,完全发育成型，翅脉中流动着体液，横脉与纵脉交汇处形成规整的星形花纹，蕴含强烈的星光能量。胸节与携粉足极度膨大，布满致密的长绒，能牢牢黏附超多光系魔法粉末——这些粉末正是体液代谢后的产物。,绒粉星光-攻击时，若敌方血脉是非本系的系别血脉，技能威力+100%。,光-虫,630,96,101,104,81,133,115,3,47,,1.25-1.65,37.5-42.8,,雄性 50% / 雌性 50%,绒绒进化链,否,否,是
310,犀角鸟,月光精灵,足部又软又嫩，相当虚弱无力。双眼的视觉暂未发育完全，偶尔被毛发遮挡视野。研究推测其毛发承担了主要感官的功能，在看不清的时候也可以通过毛发的感光功能，早早隐藏好自己。,月光审判-攻击时，若敌方血脉是首领血脉，技能威力+100%。,光,368,63,88,40,67,44,66,1,0,,0.32-0.4,9.6-11.5,,雄性 50% / 雌性 50%,犀角鸟进化链,否,否,是
311,光纤兽,月光精灵,毛发柔软但有韧性，结构特殊，似乎每一根毛发都能接收和发射光能量。它们可以分辨来自四面八方所有光束的到达时间，比较每个光束抵达的时间，计算其距离和能量。,月光审判-攻击时，若敌方血脉是首领血脉，技能威力+100%。,光,490,83,117,54,90,58,88,2,27,星光值≥1200,0.7-0.85,31.5-37.8,,雄性 50% / 雌性 50%,犀角鸟进化链,否,否,是
312,疾光千兽,月光精灵,在月亮升起来之后活动，某些特定时间会散发出微弱光芒，与某些弱小的夜行生物存在共生关系。光能量在每根毛发中沿“之”字形向身体内部传输，可以完好无损地传输到体内，存储凝结成强大力量。,月光审判-攻击时，若敌方血脉是首领血脉，技能威力+100%。,光,612,104,146,67,112,73,110,3,47,,1.75-2.1,112.9-165.0,,雄性 50% / 雌性 50%,犀角鸟进化链,否,否,是
313,果冻,凝胶精灵,透明而不起眼的精灵，经常在干净的水源被发现。研究发现，果冻精灵可以维护森林、湖泊和山脉的生态平衡，似乎是因为它们能让水变得清澈。,茶多酚-离场后，更换入场的精灵回复20%生命且免疫寄生。,水,437,81,26,81,75,78,96,1,0,,0.3-0.36,4.35-5.6,海洋组-魔力组,雄性 50% / 雌性 50%,果冻进化链,否,否,否
314,抹茶布丁,布丁精灵,抹茶布丁负责舒缓与修复，它会释放带草本气息的挥发物，闻到这种气味，周围的生物会更容易安定下来。它们对同伴与洛克都很亲近，会抱住洛克身上的细小伤口，通过触碰治愈创伤。,茶多酚-离场后，更换入场的精灵回复20%生命且免疫寄生。,水-草,546,101,32,101,94,98,120,2,30,血脉[草],0.39-0.51,6.21-7.9,海洋组-魔力组,雄性 50% / 雌性 50%,果冻进化链,否,否,否
315,椰浆布丁,布丁精灵,椰浆布丁负责降温与保鲜，它能在体表形成一层很薄的冷凝膜，使自身在温暖环境中不易软化变形。它常出现在有人维护的洁净水源附近，并更愿意与洛克共存，阴凉的室内能提高它们的舒适度。,吉利丁片-离场后，更换入场的精灵获得双防+20%且免疫冻结。,水-冰,562,133,34,89,81,105,120,2,30,血脉[冰],0.39-0.51,6.21-7.9,海洋组,雄性 50% / 雌性 50%,果冻进化链,否,否,否
316,熔岩布丁,布丁精灵,熔岩布丁负责增温与成熟，它体内的活性物质能促进糖分增多，在丰收季节，洛克常带着它们在可可果林区活动，帮助可可果形成更明显的甜香气味，洛克也常把它们的活跃视作可可果林健康的信号之一。,美拉德反应-离场后，更换入场的精灵获得双攻+20%且免疫灼烧。,水-火,564,128,87,33,112,84,120,2,30,[火]血脉,0.39-0.51,6.21-7.9,海洋组,雄性 50% / 雌性 50%,果冻进化链,否,否,否
317,星尘虫,吞噬精灵,洛克与精灵开始缔结契约的时候诞生的物种。以精灵契约为食，是极其稀少的物种。囫囵吞下咕噜球后，先整个保存在身体里一段时间，非常久之后才能完全消化掉。虽然也能吃其他食物，但很难从中获取养分。,契约的形状-根据捕捉所用的咕噜球，入场时获得不同效果。,虫,307,49,47,47,46,58,60,1,0,,0.15-0.2,0.45-1.4,昆虫组,雄性 50% / 雌性 50%,星尘虫进化链,否,否,否
318,落星虫,吞噬精灵,与精灵缔结契约的形式发生变化，咕噜球的样子世代更替，这一种族的外表也渐渐发生了变化。有人曾经尝试使用特殊咕噜球喂食，虫的形态在数年后发生变化，但实验没有继续下来，猜测是因为资金不足。,契约的形状-根据捕捉所用的咕噜球，入场时获得不同效果。,虫,407,65,62,62,61,77,80,2,20,,0.35-0.4,1.25-2.25,昆虫组,雄性 50% / 雌性 50%,星尘虫进化链,否,否,否
319,陨星虫,吞噬精灵,在这个虫族中存在着森严的等级制度，某些虫有资格吃到更稀有的咕噜球。咕噜球研究科曾经提出过一个实验课题《陨星虫与国王球的对撞实验》，后来课题被取消了，原因不明。,契约的形状-根据捕捉所用的咕噜球，入场时获得不同效果。,虫,509,81,78,78,76,96,100,3,40,,0.65-0.8,5.6-6.8,昆虫组,雄性 50% / 雌性 50%,星尘虫进化链,否,否,否
320,双灯鱼,小鱼精灵,头顶的光似乎并不是光系魔法，而是来自于某种寄生在其身上的会发光的细菌，目前不清楚发光细菌的其他特性，即使在水中也必须把头顶的灯伸到水面上。,对流-自己的能耗增加变为能耗降低；能耗降低变为能耗增加。,水-电,502,102,55,111,57,93,84,1,0,,0.5-0.72,14.9-17.8,海洋组,雄性 50% / 雌性 50%,双灯鱼进化链,否,否,是
321,利灯鱼,狂乱精灵,独居生物，个体之间保持距离，互不侵犯。常常自言自语，狂笑乱跳。据研究它们头顶的灯内有百万只以上的发光菌，肉眼很难观察。每只菌似乎都有独立意识，能够和本体进行沟通，甚至还有可能侵蚀本体的脑。,对流-自己的能耗增加变为能耗降低；能耗降低变为能耗增加。,水-电,626,128,68,138,71,116,105,2,30,,0.62-0.89,26.8-31.5,海洋组,雄性 50% / 雌性 50%,双灯鱼进化链,否,否,是
322,月牙雪熊,圆滚滚精灵,额前的星星质地不明，触感温热，能够从其中检测到异常的魔力波动。如果星星离开身体太远的话，身体会进入沉睡状态。“虽然它从不去看，但是魔法丢得很准。”,月牙雪糕-使用攻击技能时，敌方每有1层冻结，在攻击前使其获得1层星陨印记。,冰-幻,586,126,97,39,141,103,80,1,0,,1.25-1.45,76.5-92.5,动物组-巨灵组,雄性 50% / 雌性 50%,月牙雪熊进化链,否,否,是
323,嗜光嗡嗡,偷窃精灵,“经实验发现，其腹部含有特殊的器官，只对光系能量产生反应。因此，存放光水晶时需派遣光系精灵巡逻，混淆它们的感应。”“光系精灵一同发出抗议，要求王国打击嗜光嗡嗡的狂热跟踪和过分亲近行为。”,血型吸引-敌方每携带1种系别的技能，自己攻击时威力+10。,恶-光,505,74,91,91,57,100,92,1,0,,0.24-0.32,1.46-3.05,昆虫组,雄性 50% / 雌性 50%,嗜光嗡嗡进化链,否,否,是
324,窃光蚊,偷窃精灵,在微光沼泽，有不少因为长期触光水晶而琥珀化的精灵，这里面却没有恶名昭著的窃光蚊。这是因为窃光蚊会互相合作，一旦有个体吸收了过多光系能量，其他伙伴就会去吸收，帮助其减少体内的能量浓度。,血型吸引-敌方每携带1种系别的技能，自己攻击时威力+10。,恶-光,630,93,113,113,71,125,115,2,28,击败3只光系精灵,0.53-0.66,7.05-9.62,昆虫组,雄性 50% / 雌性 50%,嗜光嗡嗡进化链,否,否,是
325,柴渣虫,薪火精灵,“请避免在秋季携带柴渣虫进入山林，若因未采取防火措施而促成险情，洛克将承担所有责任。”——一则来自魔法部的公告,煤渣草-在场时，所有灼烧的衰减变为增长。,火-草,462,108,96,38,82,58,80,1,0,,0.45-0.55,14.5-18.6,昆虫组-植物组,雄性 50% / 雌性 50%,柴渣虫进化链,否,否,是
326,燃薪虫,薪火精灵,木头已经失去了生命迹象，没有实体的火焰精灵在死去木头的身体里栖息。往往喜欢热闹，洛克族的亲近和合作关系会让它们非常自豪。,煤渣草-在场时，所有灼烧的衰减变为增长。,火-草,579,135,120,48,103,73,100,2,40,生涯累计使用[引燃]3次,1.1-1.25,72.5-87.5,昆虫组-植物组,雄性 50% / 雌性 50%,柴渣虫进化链,否,否,是
327,空空颅,骨头精灵,夜晚很容易在破旧的空屋见到。力量弱小但长着骇人的面容，会恐吓其他精灵，以此来保护自己。它几乎不依赖视觉，通过感知热量来判断生物的位置与距离。,搜刮-敌方每使用1次「聚能」技能或更换精灵，自己入场时获得魔攻+20%。,幽,280,70,7,37,54,64,48,1,0,,0.43-0.61,5.6-8.7,魔力组-巨灵组,雄性 50% / 雌性 50%,空空颅进化链,否,是,是
328,夜宿颅,骨头精灵,吓退其他精灵以取乐，有人说它们以恐惧为食，但没人考证过真假。长出双爪后，行动更加自如，有了保护自己的能力。,搜刮-敌方每使用1次「聚能」技能或更换精灵，自己入场时获得魔攻+20%。,幽,373,94,9,49,72,85,64,2,30,生涯使用[勾魂]3次,0.82-1.18,27.6-34.3,魔力组-巨灵组,雄性 50% / 雌性 50%,空空颅进化链,否,是,是
329,夜枭,骨头精灵,充盈着魔力的巨爪十分有力，曾经被夜枭吞下过的生命，虽然躯体看似无碍，灵魂却缺失了一部分。,搜刮-敌方每使用1次「聚能」技能或更换精灵，自己入场时获得魔攻+20%。,幽,464,117,10,61,90,106,80,3,50,,1.45-2.07,58.6-66.5,魔力组-巨灵组,雄性 50% / 雌性 50%,空空颅进化链,否,是,是
330,粉粉星,果冻精灵,身体里流淌着神秘的星光能量，打喷嚏的时候会下星星雨。喜欢聚在一起舞蹈，舞蹈时能看到漂亮的星光在它们周围环绕，推测这是粉粉星们交流的一种方式。,星地善良-回合结束时，若场上的己方精灵能量等于0，自己立即替换此精灵。,电-幻,495,93,54,102,57,101,88,1,0,,0.53-0.76,2.1-3.0,妖精组-软体组,雄性 50% / 雌性 50%,粉粉星进化链,否,否,是
331,小皮球,果冻精灵,浑身散发着紫色的微光，有时会在夜晚拿出珍藏的星星，为迷途的旅人照亮归途。得益于柔软的身体结构，能够将不稳定的星光能量储存在体内，据说星星的亮度代表着存储能量的强度。,星地善良-回合结束时，若场上的己方精灵能量等于0，自己立即替换此精灵。,电-幻,618,116,68,127,71,126,110,2,32,,0.7-1.0,6.4-8.12,妖精组-软体组,雄性 50% / 雌性 50%,粉粉星进化链,否,否,是
332,贝瑟,蒸汽精灵,拥有坚硬而沉重的外壳，靠石头和木头补充能量，在能量短缺的时候会靠睡觉度过。 “它是坚硬的，它永远不会破碎。可当你狠心地对待它，它终究会伤心地沉睡。”,贪心算法-1号位技能获得传动1，且使用后使敌方获得6层灼烧。,机械-火,385,79,46,78,51,98,33,1,0,,0.57-0.82,24.5-34.6,机械组,雄性 50% / 雌性 50%,贝瑟进化链,否,否,是
333,贝加尔,蒸汽精灵,身体结构十分精巧，能够最高效地利用能源，是某些发热供暖装置的设计原型。但在氧气不足的地方身体会逐渐冷下来进入睡眠状态。“经过了岁月的磨练和沉淀，透露出时光的浑厚。”,贪心算法-1号位技能获得传动1，且使用后使敌方获得6层灼烧。,机械-火,512,105,61,104,68,130,44,2,28,,0.9-1.2,87.6-97.5,机械组,雄性 50% / 雌性 50%,贝瑟进化链,否,否,是
334,贝古斯,蒸汽精灵,能够通过头顶的蒸汽猜出贝古斯的心情，对于它们而言，不同的心情需要消耗不同数量的矿石。 “它是安静的，像座山一样，守候在这里，亘古不变，然而它又是有生命的，内心之中迸发出无限的生机。”,贪心算法-1号位技能获得传动1，且使用后使敌方获得6层灼烧。,机械-火,641,132,76,130,85,163,55,3,38,,1.55-1.8,248.0-286.0,机械组,雄性 50% / 雌性 50%,贝瑟进化链,否,否,是
335,粉星仔,流星精灵,习性和语言都与目前所知的任何精灵种族不同，身体轻盈，皮肤柔软但极其有韧性。研究学者偶然拾取到它星星飘下的碎屑，密度极高但质量非常轻，研究发现其材质也不属于卡洛西亚大陆的任何一种已知材质。,双向光速-在场时，双方回合结束时的效果会额外触发1次。,幻,514,80,63,119,58,102,92,1,0,,0.39-0.5,9.8-12.8,妖精组-天空组,雄性 50% / 雌性 50%,粉星仔进化链,否,否,是
